epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.0038,1.68712,2.96435,1.96906,0.61859,0.16757,0.16073,0.05177,2.31161,4.50146,2.86578,0.000412037,0.000412037,0.000412037
2,136.357,1.74021,2.5434,2.02215,0.10528,0.23475,0.06174,0.01711,2.68022,5.18977,3.20508,0.000812295,0.000812295,0.000812295
3,180.857,1.81351,2.497,2.09148,0.04629,0.14052,0.02788,0.00836,2.72653,4.25126,3.3139,0.00119605,0.00119605,0.00119605
4,232.397,1.78304,2.51182,2.09974,0.18009,0.33435,0.19301,0.06328,2.30497,3.0582,2.97445,0.00117575,0.00117575,0.00117575
5,275.404,1.72606,2.415,2.04462,0.20518,0.26691,0.18564,0.07092,2.25642,2.85161,2.77727,0.001151,0.001151,0.001151
6,316.829,1.6965,2.37457,1.99248,0.35999,0.21128,0.19251,0.06403,2.27057,3.12919,2.81496,0.00112625,0.00112625,0.00112625
7,361.621,1.67795,2.34307,2.01009,0.34557,0.34961,0.26281,0.09468,2.15227,2.50373,2.71588,0.0011015,0.0011015,0.0011015
8,385.06,1.65102,2.27649,1.97166,0.34833,0.33373,0.26694,0.10634,2.10679,2.86686,2.63618,0.00107675,0.00107675,0.00107675
9,406.404,1.58942,2.1842,1.94296,0.38737,0.35116,0.32276,0.12191,2.07769,2.42901,2.54603,0.001052,0.001052,0.001052
10,427.998,1.60429,2.20886,1.94067,0.36862,0.35142,0.27323,0.10671,2.08224,2.57579,2.62968,0.00102725,0.00102725,0.00102725
11,449.551,1.5868,2.14814,1.9107,0.42685,0.3462,0.32019,0.11496,2.09713,2.43344,2.57355,0.0010025,0.0010025,0.0010025
12,471.085,1.59334,2.16371,1.93223,0.50434,0.39542,0.3686,0.14856,2.05062,2.3579,2.53482,0.00097775,0.00097775,0.00097775
13,492.311,1.55399,2.12692,1.89631,0.49617,0.3487,0.34189,0.13767,2.03587,2.45713,2.5022,0.000953,0.000953,0.000953
14,513.293,1.54674,2.07555,1.87399,0.48185,0.40337,0.35895,0.14324,2.01805,2.24123,2.5175,0.00092825,0.00092825,0.00092825
15,534.274,1.54945,2.05747,1.8787,0.51373,0.36738,0.36861,0.14381,1.988,2.31243,2.46456,0.0009035,0.0009035,0.0009035
